Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
5.257,-0.020738337
5.25705,-0.022522457
5.2571,-0.015228211
5.25715,-0.0084760841
5.2572,0.002036466
5.25725,0.0079940557
5.2573,0.014129485
5.25735,0.016031209
5.2574,0.013240291
5.25745,0.0080571603
5.2575,0.004345498
5.25755,-0.0020681615
5.2576,-0.0035338949
5.25765,-0.0036658396
5.2577,0.0017897867
5.25775,0.0084874146
5.2578,0.011295542
5.25785,0.015600954
5.2579,0.018475054
5.25795,0.019869078
5.258,0.019559294
5.25805,0.015956631
5.2581,0.015583744
5.25815,0.0143274
5.2582,0.0066143735
5.25825,-0.0005507975
5.2583,-0.0034621859
5.25835,-0.0010154722
5.2584,0.0026990578
5.25845,0.010827999
5.2585,0.018862285
5.25855,0.024828477
5.2586,0.029455148
5.25865,0.033706062
5.2587,0.030823356
5.25875,0.027619395
5.2588,0.018386135
5.25885,0.0094024222
5.2589,0.0039984263
5.25895,-0.0019706371
5.259,-0.0045464272
5.25905,-0.0075266566
5.2591,-0.0073143975
5.25915,-0.0052491762
5.2592,-0.007311529
5.25925,-0.010346257
5.2593,-0.0124459
5.25935,-0.014376306
5.2594,-0.015087661
5.25945,-0.01353014
5.2595,-0.012761419
5.25955,-0.01496719
5.2596,-0.014224283
5.25965,-0.014402122
5.2597,-0.011981224
5.25975,-0.0064682299
5.2598,-0.000183647
5.25985,0.0031866794
5.2599,0.0072081243
5.25995,0.0091471374
5.26,0.0082837604
5.26005,0.013458287
5.2601,0.015867712
5.26015,0.020425541
5.2602,0.024530169
5.26025,0.028069729
5.2603,0.030631177
5.26035,0.03152037
5.2604,0.028568823
5.26045,0.024558851
5.2605,0.02140652
5.26055,0.02533331
5.2606,0.028204542
5.26065,0.030946696
5.2607,0.032971762
5.26075,0.029736249
5.2608,0.029483832
5.26085,0.022525182
5.2609,0.017052347
5.26095,0.012345362
5.261,0.011220964
5.26105,0.0092016365
5.2611,0.010555504
5.26115,0.0085390443
5.2612,0.013937304
5.26125,0.015474746
5.2613,0.011175071
5.26135,0.0077789291
5.2614,0.007480619
5.26145,0.0068065533
5.2615,0.008894722
5.26155,0.011622535
5.2616,0.009752363
5.26165,0.0025355611
5.2617,-0.0090095997
5.26175,-0.012649552
5.2618,-0.021527136
5.26185,-0.031379964
5.2619,-0.032068368
5.26195,-0.025465397
5.262,-0.016346872
5.26205,-0.0066661476
5.2621,0.0010124603
5.26215,0.0043254197
5.2622,0.0019332048
5.26225,-2.9401422E-6
5.2623,-0.0029229338
5.26235,-0.0078938073
5.2624,-0.015400313
5.26245,-0.022143833
5.2625,-0.023669804
5.26255,-0.021535741
5.2626,-0.018925531
5.26265,-0.01358464
5.2627,-0.0072512934
5.26275,-0.0024553905
5.2628,0.0046409396
5.26285,0.0057940218
5.2629,0.0071163368
5.26295,0.005759601
5.263,0.0012763498
5.26305,-0.0055245389
5.2631,-0.01060441
5.26315,-0.014516857
5.2632,-0.014393518
5.26325,-0.01426731
5.2633,-0.015122082
5.26335,-0.011083426
5.2634,-0.0093824873
5.26345,-0.0086539229
5.2635,-0.0071336906
5.26355,-0.004334168
5.2636,0.0010784328
5.26365,-0.00041024768
5.2637,0.001680789
5.26375,0.0051543764
5.2638,0.0057854163
5.26385,0.005521527
5.2639,0.0055702892
5.26395,0.0052891895
5.264,0.012959193
5.26405,0.019565031
5.2641,0.023311114
5.26415,0.027114565
5.2642,0.031199113
5.26425,0.029830905
5.2643,0.028683556
5.26435,0.024251936
5.2644,0.017818199
5.26445,0.0085390443
5.2645,0.0043999972
5.26455,0.0036341439
5.2646,0.0010153287
5.26465,0.0059116241
5.2647,0.0096491007
5.26475,0.014465083
5.2648,0.014502372
5.26485,0.0081001855
5.2649,0.0047097802
5.26495,-0.0058113751
5.265,-0.010940008
5.26505,-0.016171902
5.2651,-0.016375555
5.26515,-0.018905452
5.2652,-0.014723379
5.26525,-0.012064407
5.2653,-0.010004922
5.26535,-0.0056306683
5.2654,-0.0044661132
5.26545,-0.0068325121
5.2655,-0.0064194682
5.26555,-0.010974429
5.2656,-0.020494524
5.26565,-0.029750731
5.2657,-0.039325327
5.26575,-0.046433132
5.2658,-0.047996387
5.26585,-0.045185395
5.2659,-0.04601435
5.26595,-0.040016603
5.266,-0.032031082
5.26605,-0.02214957
5.2661,-0.013888686
5.26615,-0.010265944
5.2662,-0.0062358929
5.26625,0.00044739284
5.2663,0.0039066384
5.26635,0.0026474274
5.2664,0.00012326783
5.26645,0.0029887625
5.2665,0.011200886
5.26655,0.018988492
5.2666,0.030545127
5.26665,0.039586205
5.2667,0.037896741
5.26675,0.032905791
5.2668,0.025602937
5.26685,0.014356085
5.2669,0.0083812848
5.26695,0.0019475466
5.267,0.0025097458
5.26705,0.0012304559
5.2671,0.00073709746
5.26715,0.0073142541
5.2672,0.015288304
5.26725,0.021174183
5.2673,0.024782585
5.26735,0.02240758
5.2674,0.018274268
5.26745,0.015061702
5.2675,0.0097638359
5.26755,0.00099525019
5.2676,-0.0029860376
5.26765,-0.0075840238
5.2677,-0.011522286
5.26775,-0.010509754
5.2678,-0.005131573
5.26785,0.0067721331
5.2679,0.014895338
5.26795,0.023953628
5.268,0.025760697
5.26805,0.024226123
5.2681,0.026887963
5.26815,0.024363805
5.2682,0.016452858
5.26825,0.0070675751
5.2683,-0.003952676
5.26835,-0.015239685
5.2684,-0.021162853
5.26845,-0.022576956
5.2685,-0.021845525
5.26855,-0.01894274
5.2686,-0.011926725
5.26865,-0.0088059455
5.2687,-0.0039498075
